,no,name,jiancheng,date,单位净值,累计净值,今日,本周,月增幅,近3月,近6月,近1年,近2年,近3年,今年来,成立来,日期,f1,owndefine,fee1,fee2,f2,fee3,canbuy,f3
28,001933,华商新兴活力混合,HSXXHLHH,2021-06-28,2.03,2.03,2.42,6.56,18.92,34.88,19.62,37.25,137.98,119.22,15.80,103,2016-02-25,1,38.6612,1.50%,0.15%,1,0.15%,1,102.19
29,006080,海富通电子传媒股票C,HFTDZCMGPC,2021-06-28,2.6618,2.6618,2.99,6.37,18.92,28.75,23.06,34.63,145.83,,20.26,166.18,2018-12-26,1,37.4187,,0.00%,,,,
30,519674,银河创新成长混合,YHCXCZHH,2021-06-28,7.2244,7.2244,1.76,3.56,18.83,37.25,30.03,22.58,179.02,201.18,23.31,622.44,2010-12-29,1,24.7091,1.50%,0.15%,1,0.15%,1,232.57
31,009651,海富通成长甄选混合A,HFTCZZXHHA,2021-06-28,1.2964,1.2964,3.96,8.70,18.73,28.69,20.19,,,,14.91,29.64,2020-09-27,1,29.64,1.50%,0.15%,1,0.15%,1,
32,009652,海富通成长甄选混合C,HFTCZZXHHC,2021-06-28,1.2925,1.2925,3.96,8.70,18.69,28.56,19.94,,,,14.69,29.25,2020-09-27,1,29.25,,0.00%,,,,
33,320007,诺安成长混合,NACZHH,2021-06-28,2.0470,2.4920,2.15,5.73,18.53,35.12,23.09,18.19,161.76,174.40,18.39,205.82,2009-03-10,1,21.2678,1.50%,0.15%,1,0.15%,1,74.66
34,008655,招商科技创新混合A,ZSKJCXHHA,2021-06-28,1.4753,1.4753,1.72,1.74,17.89,29.05,23.49,30.19,,,18.17,47.53,2020-02-12,1,30.2578,1.50%,0.15%,1,0.15%,1,
35,008656,招商科技创新混合C,ZSKJCXHHC,2021-06-28,1.4601,1.4601,1.71,1.72,17.81,28.79,23.08,29.22,,,17.78,46.01,2020-02-12,1,29.3039,,0.00%,,,,
38,002272,新华科技创新主题灵活配置混合,XHKJCXZTLHPZHH,2021-06-28,2.0191,2.0191,2.33,8.16,17.70,43.94,24.33,77.43,133.15,135.88,21.56,101.91,2016-03-22,1,79.4756,1.50%,0.15%,1,0.15%,1,101.51
39,011146,创金气候变化责任投资股票A,CJQHBHZRTZGPA,2021-06-28,1.2472,1.2472,2.46,5.53,17.62,33.19,,,,,23.12,24.72,2020-12-30,1,24.72,1.50%,0.15%,1,0.15%,1,
40,011147,创金气候变化责任投资股票C,CJQHBHZRTZGPC,2021-06-28,1.2447,1.2447,2.45,5.51,17.58,33.05,,,,,22.87,24.47,2020-12-30,1,24.47,,0.00%,,,,
41,005927,创金合信新能源汽车股票A,CJHXXNYQCGPA,2021-06-28,2.7306,2.7306,2.39,5.80,17.56,36.63,27.89,108.22,202.29,177.98,26.54,173.06,2018-05-08,1,110.3374,1.50%,0.15%,1,0.15%,1,
42,005928,创金合信新能源汽车股票C,CJHXXNYQCGPC,2021-06-28,2.6692,2.6692,2.39,5.79,17.49,36.38,27.45,106.77,198.27,172.01,26.11,166.92,2018-05-08,1,108.8903,,0.00%,,,,
43,001411,诺安创新驱动混合A,NACXQDHHA,2021-06-28,1.3730,1.4880,2.31,4.17,17.45,27.13,29.77,28.92,40.81,43.44,26.08,53.46,2015-06-18,1,28.9202,1.50%,0.15%,1,0.15%,1,48.99
44,630010,华商价值精选混合,HSJZJXHH,2021-06-28,2.4170,3.3270,3.51,7.04,17.44,34.73,24.27,42.43,114.84,120.73,19.54,302.85,2011-05-31,1,43.5273,1.50%,0.15%,1,0.15%,1,60.65
45,002051,诺安创新驱动混合C,NACXQDHHC,2021-06-28,1.3610,1.4760,2.25,4.13,17.43,26.96,29.50,28.64,40.44,42.80,25.90,50.68,2015-11-18,1,28.6390,1.50%,0.15%,1,0.15%,1,47.89
46,006128,银河和美生活混合,YHHMSHHH,2021-06-28,1.7995,1.7995,1.60,6.11,17.31,35.82,16.55,41.33,68.92,,13.67,79.95,2018-11-22,1,43.4207,1.50%,0.15%,1,0.15%,1,
47,009954,北信瑞丰优选成长,BXRFYXCZ,2021-06-28,1.4278,1.4278,0.88,-0.19,17.04,29.35,28.57,,,,23.92,42.78,2020-09-27,1,42.78,1.50%,0.15%,1,0.15%,1,
48,011188,信达澳银星奕混合A,XDAYXYHHA,2021-06-28,1.2219,1.2219,2.36,4.94,17.03,28.84,,,,,,22.19,2021-01-22,1,22.19,1.50%,0.15%,1,0.15%,1,
49,009511,信达澳银研究优选混合,XDAYYJYXHH,2021-06-28,1.2461,1.2461,2.29,4.87,17.02,28.65,21.24,24.61,,,19.94,24.61,2020-06-22,1,,1.50%,0.15%,1,0.15%,1,
