,no,name,jiancheng,date,单位净值,累计净值,今日,本周,月增幅,近3月,近6月,近1年,近2年,近3年,今年来,成立来,日期,f1,owndefine,fee1,fee2,f2,fee3,canbuy,f3
36,003887,汇安丰利混合C,HAFLHHC,2021-06-28,2.0911,2.3602,1.05,4.59,11.07,30.83,39.47,69.46,161.60,130.56,34.19,155.80,2016-12-19,1,71.3343,,0.00%,,,,
37,005983,上投摩根核心精选,STMGHXJX,2021-06-28,2.6402,2.6402,1.96,4.81,11.50,17.65,39.62,71.81,143.43,,34.16,164.02,2018-11-29,1,72.4381,1.50%,0.15%,1,0.15%,1,
38,000831,工银医疗保健股票,GYYLBJGP,2021-06-28,4.4550,4.4550,0.68,1.18,7.69,25,35.74,51.43,188.91,182.32,33.70,345.50,2014-11-18,1,48.6983,1.50%,0.15%,1,0.15%,1,254.42
39,090018,大成新锐产业混合,DCXRCYHH,2021-06-28,4.81,5.31,0.21,4.32,3.84,12.59,36.14,98.11,194.19,197.28,33.31,562.84,2012-03-20,1,98.1870,1.50%,0.15%,1,0.15%,1,213.15
40,001717,工银前沿医疗股票A,GYQYYLGPA,2021-06-28,5.0850,5.0850,0.87,1.50,6.81,25.93,35.20,56.22,228.70,233.01,33.25,408.50,2016-02-03,1,53.4400,1.50%,0.15%,1,0.15%,1,384.75
41,090020,大成健康产业混合,DCJKCYHH,2021-06-28,2.4490,2.4490,1.07,2.55,4.88,31.03,37.05,65.47,190.17,172.72,33.24,144.90,2012-08-28,1,63.8127,1.50%,0.15%,1,0.15%,1,158.33
42,002919,东吴智慧医疗量化混合A,DWZHYLLHHHA,2021-06-28,1.7647,1.7647,0.78,2.90,10.39,34.46,35.96,63.31,114.42,103.07,33.12,76.47,2016-08-11,1,61.7803,1.50%,0.15%,1,0.15%,1,
43,010685,工银前沿医疗股票C,GYQYYLGPC,2021-06-28,5.07,5.07,0.90,1.50,6.76,25.74,34.80,,,,32.86,54.57,2020-11-23,1,54.573171,,0.00%,,,,
44,006049,恒越研究精选混合A/B,HYYJJXHHAB,2021-06-28,2.7938,2.7938,1.94,3.99,7.24,33.43,36.27,120.96,163.44,,32.52,179.38,2018-07-04,1,120.2097,1.50%,0.15%,1,0.15%,1,
45,000209,信诚新兴产业混合,XCXXCYHH,2021-06-28,3.8330,3.8330,1.78,4.27,11.17,39.69,32.49,122.33,238.60,227.33,32.49,283.30,2013-07-17,1,122.4608,1.50%,0.15%,1,0.15%,1,110.60
46,007192,恒越研究精选混合C,HYYJJXHHC,2021-06-28,2.7824,2.7824,1.94,3.99,7.23,33.36,36.14,120.53,162,,32.39,142.71,2019-04-10,1,119.7787,,0.00%,,,,
47,001532,华安文体健康混合,HAWTJKHH,2021-06-28,3.3170,3.3170,0.88,2.16,7,25.50,36.73,86.98,178.04,232.03,32.26,231.70,2017-06-08,1,87.0840,1.50%,0.15%,1,0.15%,1,
48,166019,中欧价值智选混合A,ZOJZZXHHA,2021-06-28,4.8728,5.1928,0.24,2.15,3.89,11.15,34.50,82.69,155.05,207.63,32.04,474.05,2013-05-14,1,83.8792,1.50%,0.15%,1,0.15%,1,178.40
49,001887,中欧价值智选混合E,ZOJZZXHHE,2021-06-28,5.3773,5.7273,0.24,2.15,3.89,11.15,34.50,82.68,155.48,208.49,32.04,250.23,2015-09-22,1,83.8644,1.50%,0.15%,1,0.15%,1,181.06
